"CMCII_Institution","Sector","SERVICE","CII_Name","CII_Type","Description","Location","Dependencies (Upstream/Downstream Asset)","Ownership (Public, Private, Hybrid)","Custodian","Geolocation Parameters","Status (A/C/R)","Impact Users Affected (0-4)","Economic Impact (1-4)","Recovery Time (1-4)","Availability of Alternatives (1-4)","Cross-sector Dependencies (1-4)","Score","Tier"
"PURA & GmCSIRT","Information and Communications","Pentesting of DFS applications","Jadx","Software Systems","A tool that decompiles Android applications, producing source code and resources to support security analysis and vulnerability research.","gmCSIRT Office, Abuko Earth Station, Abuko","Wi-Fi, Servers, Computer","PURA","PURA","Latitude ~13.404°, Longitude ~−16.656°","Active","4","4","2","2","3","15","Tier-3"
"Gamcel","Information and Communications","Emergency communication service","SS7","Software Systems","For signaling","Brusubi","","Private","Gamcel","Brusubi complex","Active","4","3","1","4","4","16","Tier-3"
"Gam Ferries Services (GFS)","Transport","Emergency Response","Ferries website","Software Systems","online correspondance with stakeholders and the world","GFS","1. Mobile Phones 2. computers 3. network","GFS","1. GFS 2.JUST HOST","CLOUD","Active","3","3","3","3","3","15","Tier-3"
"Gam Ferries Services (GFS)","Transport","Emergency Response","mobile phones","Hardware and Computing Infrastructure","serve as the GPS device","GFS","1. gps app 2. network 3. power","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","3","3","3","2","4","15","Tier-3"
"Gam Ferries Services (GFS)","Transport","Emergency Response","Ticketing system","Software Systems","provision of ferry tickets","GFS","1. power 2.computers","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","4","4","4","3","3","18","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Financial reporting and account","IFMIS Reports","Software Systems","Evaluate the itemize and printing reports in the system","AGD","Software application","Government MDAs","AGD","FC4G+28Q","Candidate","2","2","3","4","4","15","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","External reserve management","Hardware & Computing Infrastructure (Servers, Workstations, UPS, Cooling)","Hardware and Computing Infrastructure","Physical computing and power systems supporting RMS, CBS, and market terminals; includes servers, UPS, and backup power.","CBG Data Center & Financial Markets Office, Banjul","Upstream: Facility powerDownstream: RMS, CBS, Bloomberg Terminal","Public","IT Infrastructure & Operations","FC3G+9Q, Banjul","Active","3","4","4","3","4","18","Tier-3"
"National Records Service (NRS)","General Government","National archives services","IT Tecnicians","Human","Technical Support","National Records Service","Desktops","Government","National Records Service","F87H+M2J, Serrekunda","Active","4","4","3","3","4","18","Tier-3"
"Central Bank of The Gambia (CBG)","Banking and Finance","External reserve management","Bloomberg Terminal","Data","External financial data and trading system providing real-time market information","CBG","Upstream: Internet/VPN connectivity
Downstream: portfolio valuation tools, policy analytics","Hybrid (CBG+ Bloomberg)","FMRMD","FC3G+9Q, Banjul","Active","3","4","3","2","4","16","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Ensure quality fuel storage.","monitoring tank conditions, managing inventory by using sensors and a computerized system","Data","Raders","Mandinari Depot","Software Liences,Laptop\Desktop","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","4","4","4","4","20","Tier-3"
"Gam Petroleum (GP)","Power, Energy and Water","Ensure quality fuel storage.","Tank Visualization","Software Systems","TanView","Mandinari Depot","Software Liences,Laptop\Desktop","GamPetroleum","GamPetroleum - IT","9C8C+8P5, Mandinari","Active","4","4","4","3","3","18","Tier-3"
"Gambia Armed Forces (GAF)","National Defense and Security","National defense services","IMF","Software Systems","Finacial operational and Records","Quadrangle","Internet,Electricity/GAF Finance Depertment","Public","GAF Finance","Banjul (DHQ)","Active","3","4","4","4","4","19","Tier-3"
"National Records Service (NRS)","General Government","Document preservation","Scanners","Networks and Communication","This is used to scan all incoming documents that will be uploaded to the system and provides visibility, security assurance and operational insight by systematically probing and analysing the network and its devices.","National Records Service","Electronic Records Management System","Government","National Records Service","F87H+M2J, Serrekunda","Active","4","4","2","1","4","15","Tier-3"
"Gambia Armed Forces (GAF)","National Defense and Security","National defense services","Gamtel Fiber - Internet","Networks and Communication","Internet Service Provider","Banjul","Electricity/ GAF Operations","Public","GAF","Banjul (DHQ)l","Active","2","3","3","4","4","16","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Energy Metering Systems","Customer Database","Data","database keeping all customer information  and records","Nawec HQ and branches","Power, Computer, Network, database, Application","NAWEC","IT, Customer Service","","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Energy Metering Systems","OUC","Software Systems","Central system responsible for NAWEC's customer, metering and billing system","Nawec HQ and branches","Power, Computer, Network, database, Application","NAWEC","IT, Customer Service","","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Energy Metering Systems","Server Room","Facilities","A facility to keep and maintainall servers and critical devices","Nawec HQ and branches","Power, Cooling Systems, Racks, Cabling, Physical Server Machine, Licenses, Server Room etc","NAWEC","IT","","Active","4","4","4","1","4","17","Tier-3"
"Gam Ferries Services (GFS)","Transport","Emergency Response","ferry crew","Human","ferrying people and GPS device custodians","GFS","1. passengers","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","4","4","4","4","4","20","Tier-3"
"Gam Ferries Services (GFS)","Transport","Emergency Response","safety staff","Human","for passenger safety, Emergency preparedness and crowd control","GFS","1.Passengers","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","3","3","4","4","3","17","Tier-3"
"Gam Ferries Services (GFS)","Transport","Emergency Response","routers","Hardware and Computing Infrastructure","Enchansing cummunication between internal and external networks","GFS","1.power 2. network cables","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","3","3","4","2","3","15","Tier-3"
"Gam Ferries Services (GFS)","Transport","Emergency Response","gps app","Software Systems","geographical location of the ferry","GFS","1. mobile phones 2. computers 3. Network","GFS","1.Auutek 2. GFS","CLOUD","Active","3","3","3","3","3","15","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Energy Metering Systems","Meter Servers","Hardware and Computing Infrastructure","Provides services to NAWEC staff and customers","Nawec HQ and branches","Power, Cooling Systems, Racks, Cabling, Physical Server Machine, Licenses, Server Room etc","NAWEC","IT","","Active","4","4","4","1","4","17","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Ifmis Server Room","Facilities","data center","AGD Office","ifmis Platform","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Group Technical Support","Human","Technical assistance of the banks centralized services and operations","Datacenter (Accra and Lagos)","Server, Datacenter, Cooling, Power, Network, Staff, Customer","Ecobank","Eprocess (Ecobank)","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","POS","Hardware and Computing Infrastructure","Enable the bank and its merchants to accept payments from customers using debit cards, credit cards, mobile wallets, or other digital methods.","EcoBank Gambia Branches and Customers","Server, Datacenter, Cooling, Power, Network","Ecobank","Eprocess (Ecobank) Ecobank IT Team","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Gambia Armed Forces (GAF)","National Defense and Security","Emergency response support","Repeaters","Hardware and Computing Infrastructure","its a Frequency transmiter","Within all GAF Units","Attena's/Waves Signals","Private","GAF","Arial Location","Active","2","3","4","3","3","15","Tier-3"
"Gam Ferries Services (GFS)","Transport","Premium Service ","ferry captain","Human","Ferrying passengers,vehicles,freights and monitoring the GPS device","GFS","PASSENGERS VEHICLES FREIGHT","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","4","4","4","1","3","16","Tier-3"
"Gam Ferries Services (GFS)","Transport","Premium Service ","Ferry Premises","Facilities","Parking lot for vehicles","GFS","1. Vehicles 2. passengers","GFS","GFS","CCVG+VF7, Liberation Ave, Banjul","Active","4","4","3","2","4","17","Tier-3"
"Gambia Transport Service Company (GTSC)","Transport","Expanded routes, fleet growth, solar shelters, inter-regional service","Solar Shelters","Facilities","customer service","F83H+5WQ, Serrekunda","Every Major Point","GTSC","GTSC","F83H+5WQ, Serrekunda","Active","3","3","3","3","3","15","Tier-3"
"GTBank","Banking and Finance","Payment processing and services","SWIFT","Software Systems","The international messaging network used for cross border payments and securities transactions. ","HQ","SWIFT Alliance Gateway, VPN, HSM","Private","GTBank Gambia","HQ","Active","3","4","2","2","4","15","Tier-3"
"GTBank","Banking and Finance","Payment processing and services","HSM","Hardware and Computing Infrastructure","A physical, tamper-resistant device that generates, stores, and protects cryptographic keys for PIN verification, SSL, and transaction signing","HQ","Internet Connectivity, Electricity,cooling","Private","GTBank Gambia","HQ","Active","3","4","3","2","3","15","Tier-3"
"Gambia Prisons Services(GPS)","National Defense and Security","Internal Security","WAN & Internet Connectivity","Networks and Communication","MPLS/VPN links between facilities and to the Internet for inter-site data and secure access.","All facilities; Provider POPs in Banjul/Kanifing","Up: Telco Exchanges, Fiber; Down: PMIS, Email, Justice Link, Cloud Backups","Hybrid","GPS ICT with GAMTEL / ISPs","Provider circuits; diverse routes where available","Active","4","3","3","3","3","16","Tier-3"
"Gampost","General Government","Other related postal services.","IPS - Internation Postal Service","Software Systems","Mailing tracking software","Cloud Service - US","Internet, Work Stations and Computers","UPU","Universal Postal Union","Cloud Service","Active","3","2","4","4","3","16","Tier-3"
"National Audit Office (NAO)","General Government","Financial Audits of Government Dept SOEs & Agency","Router","Networks and Communication","Connectivity device to the ISP","NAO Head Office, Kanifing Industrial Layout","network availability, electricity","NAO","NAO - IT","F88F+4MP","Active","4","2","3","2","4","15","Tier-3"
"The Gambia Judiciary","Justice and Legal Affairs","Marriage Registration Services","Cadi","Human","The Cadi and staff are responsible for registering Muslim marriages in the Judiciary","Offices","","Judiciary","Judicial Service Commission","13.459836, -16.581277","Active","4","4","1","3","4","16","Tier-3"
"Gambia Fire and Rescue Services (GFRS)","Emergency Services","Fire Suppression & Rescue","Fire Stations","Facilities","Fire and rescue service personnel are based at their stations to wait for any emergencies to be response for","Head quaters Banjul","Natural disaster","Public institution","GFRS","9 buckle street Banjul","Active","3","3","4","4","2","16","Tier-3"
"Gambia Fire and Rescue Services (GFRS)","Emergency Services","Fire Suppression & Rescue","Rescue Stations","Facilities","Rescue services personnel are based at their station to wait for any types of rescue services","Head quaters Banjul","Natural disaster","Public institution","GFRS","9 buckle street Banjul","Active","3","3","3","4","4","17","Tier-3"
"Gambia Fire and Rescue Services (GFRS)","Emergency Services","Fire Suppression & Rescue","Call center hotline number (118)","Networks and Communication","The public called (118) in any network to get fire and rescue service for any types of emaergencies related to fire , rescue ,medical resonse, search fire supression ect.","Head quaters Banjul","Natural disaster","Public institution","GFRS","9 buckle street Banjul","Active","3","4","3","4","3","17","Tier-3"
"Gambia Fire and Rescue Services (GFRS)","Emergency Services","Fire Suppression & Rescue","radio communication system","Networks and Communication","incase of emaergency we used the radio communication system to comminicate within ourselfs","Head quaters Banjul","Natural disaster","Public institution","GFRS","9 buckle street Banjul","Active","4","3","3","2","4","16","Tier-3"
"Gampost","General Government","Records Management","Administrators","Human","These are individuals reponsible for maintainting the System and keep mornitoring the system in the Institution.","Gampost Headquarters","Electricity, Internet and workstation","Gambia Postal Service Cooperations","Gampost","Gampost Headquarters Banjul","Active","2","2","4","4","3","15","Tier-3"
"Unique Solutions","Information and Communications","Managed IT support, cybersecurity services","Access Control","Facilities","Provides securtity and keeps records ","1-2 Ecowas Avenue","Cooling, Power","Private","USL","C8WF+R7F","Active","2","4","3","3","3","15","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","National Control Center","Facilities","To monitor and control the  infrastructural network of the grid","Brikama","SCADA systems, IT Network Systems, Display Systems etc","NAWEC","IT, EBU - NAWEC","","Active","3","3","3","3","3","15","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","Linux Servers etc","Software Systems","To provide services for NAWEC staff and customers","Nawec HQ (Kanifing)","Power, Cooling Systems, Racks, Cabling, Physical Server Machine, Licenses, Server Room etc","NAWEC","IT","F886+R4M","Active","4","4","4","1","4","17","Tier-3"
"Ministry of Basic and Secondary Education (MOBSE)","Education & Research","Education Management Information System (EMIS)","Education Officers,ICT Officers, Students, Teachers","Human","Personel working with EMIS Unit","Ministry of Basic and Secondary Education, Banjul","","Public","Ministry of Basic and Secondary Education","13.45408,-16.57290","Active","4","3","4","4","4","19","Tier-3"
"Ministry of Basic and Secondary Education (MOBSE)","Education & Research","Education Management Information System (EMIS)","Annual School Census","Data","Collects, manages, and analyzes education data for national planning and policy","Ministry of Basic and Secondary Education, Banjul","Data Systems","Public","Ministry of Basic and Secondary Education","13.45408,-16.57290","Active","4","2","4","3","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","Firewalls","Hardware and Computing Infrastructure","For filtering and routing incoimng and outgoing traffic","Nawec HQ (Kanifing)","Power, Cooling Systems, Racks, Cabling, Physical Firewall Machine, Licenses, Server Room etc","NAWEC","IT","","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","Microwave Signals","Networks and Communication","Provides interconectivity for our various branches across the country","Nawec HQ (Kanifing) and other branches","","NAWEC","IT","F886+R4M","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","Switches","Hardware and Computing Infrastructure","For distributing network to users and other resources","Nawec HQ (Kanifing)","Power, Cooling Systems, Racks, Cabling, Physical Switch Machine, Licenses, Server Room etc","NAWEC","IT","","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","Fiber Cables","Networks and Communication","Provides interconectivity for our various branches across the country","Nawec HQ (Kanifing) and other branches","Routers, Switches,","NAWEC","IT","F886+R4M","Active","4","4","3","1","4","16","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","Routers","Hardware and Computing Infrastructure","For routing network traffic","Nawec HQ (Kanifing)","Power, Cooling Systems, Racks, Cabling, Physical Router Machine, Licenses, Server Room etc","NAWEC","IT","","Active","4","4","4","1","4","17","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","Servers","Hardware and Computing Infrastructure","Provides services to NAWEC staff and customers","Nawec HQ (Kanifing)","Power, Cooling Systems, Racks, Cabling, Physical Server Machine, Licenses, Server Room etc","NAWEC","IT","","Active","4","4","4","1","4","17","Tier-3"
"Gambia Maritime Administration (GMA)","Transport","Seafarers' Medical Certificate","Database","Software Systems","Is  storage system","Bijilo Banjul","labtops,desktop,tablets, and mobile phones
","GMA","GMA","","Active","2","3","4","3","4","16","Tier-3"
"Gambia Maritime Administration (GMA)","Transport","Seafarers' Medical Certificate","website","Software Systems","Is the system were people can accesss form and apply","Bijilo Banjul","labtops,desktop,tablets, and mobile phones","GMA","GMA","","Active","3","4","3","4","5","19","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","Power Stations","Facilities","To produce and maintain power","Power Stations","Generators, Fuels, Lubricants etc","NAWEC","EBU, Power Generation","","Active","4","4","3","1","4","16","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","SCADA","Software Systems","To monitor and control the  infrastructural network of the grid","Power Stations, National Control Center","Network, database, Application","NAWEC","IT, EBU - NAWEC","","Active","4","4","4","3","4","19","Tier-3"
"National Water and Electricity Company (NAWEC)","Power, Energy and Water","Electricity generation, transmi","WAN","Networks and Communication","Provides internet for NAWEC staff and services","Nawec HQ (Kanifing)","ISP, Firewall, Routers, Swtches etc","NAWEC","IT","F886+R4M","Active","4","4","3","2","2","15","Tier-3"
"Unique Solutions","Information and Communications","Managed IT support, cybersecurity services","Backup Solutions","Facilities","Provides backup and help keep systems running 24/7","1-2 Ecowas Avenue","Cooling, Power","Private","USL","C8WF+R7F","Active","4","4","4","3","4","19","Tier-3"
"Gambia Fire and Rescue Services (GFRS)","Emergency Services","Fire Suppression & Rescue","IN-person reports","Networks and Communication","Incase of emergencies people report it to the fire and rescue station by calling (118) or the radio communication system , and others report it In- person by running to the fire and rescue physically.","Head quaters Banjul","Natural disaster","Public institution","GFRS","9 buckle street Banjul","Active","4","4","4","3","3","18","Tier-3"
"Unique Solutions","Information and Communications","Managed IT support, cybersecurity services","Data Center for both main and DR site,","Hardware and Computing Infrastructure","Provides a robuts platform for","1-2 Ecowas Avenue","Cooling, Power","Public","CBG, Unique Solutions","FC3G+9Q Banjul","Active","4","4","4","4","4","20","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","DR Dataset","Data","Replicated data for failover and recovery","DR Site GBOS","Backup Devices, Servers, Network","Public","GICTA","97XR+6C11","Candidate","4","4","4","1","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","Disaster Recovery Site (GBOS)","Facilities","Backup site for EA systems","GBOS","Power, Network, Storage","Public","GICTA","97XR+6C17","Candidate","4","4","4","1","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","IPS","Networks and Communication","Intrusion Prevention System protecting EA networks","e-Gov Data Center","Firewall, Network, Servers","Public","GICTA","97XR+6C15","Candidate","4","3","3","2","4","16","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","Backup & Snapshot Data","Data","Backups and snapshots for systems and databases","DR Site GBOS","Servers, Storage, Network","Public","GICTA","97XR+6C10","Candidate","4","4","4","1","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","IT Portfolio & Project Management Tools","Software Systems","Manages IT projects, investments, and resources","e-Gov Data Center","CMDB, Servers, Network","Public","GICTA","97XR+6C4","Candidate","4","3","3","2","3","15","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","SQL Server","Data","Database supporting governance, reporting, and analytics","e-Gov Data Center","Servers, Applications","Public","GICTA","97XR+6C7","Candidate","4","4","3","2","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","Network Configurations","Data","Stores network topology, settings, and policies","e-Gov Data Center","Routers, Switches, Firewalls","Public","GICTA","97XR+6C9","Candidate","4","3","3","2","4","16","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","WAN","Networks and Communication","Local and wide area networks supporting EA systems","e-Gov Data Center","Network Devices, Servers","Public","GICTA","97XR+6C14","Candidate","4","3","3","2","4","16","Tier-3"
"Gambia Prisons Services(GPS)","National Defense and Security","Low Level Police duties","Police Stations & Outposts","Facilities","Physical buildings for operations, detention, and administrative duties.","Nationwide (Urban & Rural)","Power, Water, Security infrastructure; Downstream: public & courts","Public","Regional Commanders","National coverage","Active","4","4","3","3","4","18","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","TMS","Software Systems","Reconciliation","AGD- Server Room","Users","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Disaster Recovery Site","Facilities","Secondary Data Center","GBOS","-","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Routers and Switches","Hardware and Computing Infrastructure","Network Communication","AGD- Server Room","network uplink","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Servers","Hardware and Computing Infrastructure","Hardware","AGD- Server Room","Application Systems","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Firewalls","Hardware and Computing Infrastructure","Hardware","AGD- Server Room","hardware","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Accountant General's Department (AGD)","Banking and Finance","Government financial management","Wireless Devices","Hardware and Computing Infrastructure","Hardware","AGD Office","network uplink","Accountant General's Department","Accountant General's Department","Accountant General's Department","Active","4","4","4","4","4","20","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","Virtual Network","Networks and Communication","Secure logical network for cloud and on-prem EA systems","e-Gov Data Center","Cloud Platforms, Servers","Public","GICTA","97XR+6C13","Candidate","4","4","3","2","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","Data Catalog & Governance Tools","Software Systems","Manages data inventories, lineage, and governance policies","e-Gov Data Center","SQL Server, Data Lake","Public","GICTA","97XR+6C6","Candidate","4","3","3","2","3","15","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","Configuration Management Database (CMDB)","Software Systems","Stores configuration items, dependencies, and IT infrastructure data","e-Gov Data Center","IT Portfolio Tools, Servers, Network","Public","GICTA","97XR+6C3","Candidate","4","4","3","2","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Enterprise Architect","Cloud Management Platforms","Software Systems","Manages cloud deployments, resources, and monitoring","e-Gov Data Center","Servers, Network, CMDB","Public","GICTA","97XR+6C5","Candidate","4","4","3","2","4","17","Tier-3"
"Unique Solutions","Information and Communications","Managed IT support, cybersecurity services","Cisco DNA (Digital Network Architecture)","Software Systems","Platform for managing Cisco Unified Systems","1-2 Ecowas Avenue","Cooling, Power","Public","CBG, Unique Solutions","FC3G+9Q Banjul","Active","2","3","3","3","4","15","Tier-3"
"Unique Solutions","Information and Communications","Managed IT support, cybersecurity services","storage systems","Hardware and Computing Infrastructure","Platform for managing Cisco Unified Systems","1-2 Ecowas Avenue","Cooling, Power","Private","CBG, Unique Solutions","FC3G+9Q Banjul","Active","3","4","4","4","4","19","Tier-3"
"Ministry of Fishery and Water Resources (MoFWR )","Power, Energy and Water","Fisheries Services","Fisheries Information System","Software Systems","A working tool to 
streamline fisheries 
management. 
With this system,
fisheries officers 
can now process 
and issue fishing 
licenses digitally. 
Officers stationed 
at various landing 
sites are also able 
to submit inspection 
forms electronically 
u","","Internet
routers/
Data collectors
","MoFWR","MoFWR","Banjul and
Landing site across
The Gambia
","Active","4","4","2","3","3","16","Tier-3"
"Ministry of Fishery and Water Resources (MoFWR )","Power, Energy and Water","Fisheries Services","Fisheries Inspectors 
& Technical Staff","Human","Field staff and data officers 
collecting, validating, 
and uploading data; 
maintaining operational systems.","MoFWR, landing Site
Across the Gambia
","","MoFWR","MoFWR","Banjul and
Landing site across
The Gambia","Active","4","3","3","2","4","16","Tier-3"
"Ministry of Fishery and Water Resources (MoFWR )","Power, Energy and Water","Fisheries Services","Servers & Computing Hardware","Hardware and Computing Infrastructure","Includes servers, desktops, 
laptops, storage devices, 
and UPS supporting fisheries systems.
","","Power, Cooling; 
All software and database systems 
","","","Banjul and
Landing site across
The Gambia","Active","4","4","3","2","3","16","Tier-3"
"Food Safety and Quality Authority (FSQA)","Food, Agriculture and Environment","Food safety monitoring","Food Inspection Directorate","Facilities","Food management","FSQA Office","Workstation, Power, Logistics","FSQA","FSQA","F88F+Q54","Active","1","4","4","3","4","16","Tier-3"
"Food Safety and Quality Authority (FSQA)","Food, Agriculture and Environment","Food safety monitoring","FSIS","Software Systems","Food Safety information system","Cloud","Workstation, license, power","FSQA","FSQA","F88F+Q54","Candidate","1","4","4","3","3","15","Tier-3"
"Ministry of Basic and Secondary Education (MOBSE)","Education & Research","Education Management Information System (EMIS)","DHIS2 Platform","Software Systems","Managing Education Data","Ministry of Basic and Secondary Education, Banjul","Internet, VPN","Public","Ministry of Basic and Secondary Education,HIPSWCA","13.45408,-16.57290","Active","4","1","4","4","4","17","Tier-3"
"Food Safety and Quality Authority (FSQA)","Food, Agriculture and Environment","Food safety monitoring","Inspection Directorate","Data","Safety & Hygiene of Food Management","FSQA Office","Workstation, Power, Logistics","FSQA","FSQA","F88F+Q54","Active","1","4","4","3","4","16","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Cloud Hosting Platfo","API Gateway","Software Systems","Manages integrations and data exchange between services","e-Gov Data Center","Network, Virtualization, Servers","Public","GICTA ","97XR+6C7","Candidate","4","3","3","2","4","16","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Cloud Hosting Platfo","Transaction Records","Data","Stores service transactions and billing events","e-Gov Data Center","Database, Billing Software","Public","GICTA ","97XR+6C10","Candidate","4","4","3","2","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Cloud Hosting Platfo","User Access Control Data","Data","Authentication and authorization information for users","e-Gov Data Center","Servers, Identity System","Public","GICTA ","97XR+6C11","Candidate","4","4","3","2","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Cloud Hosting Platfo","Backup and Snapshot Data","Data","Backup images and recovery datasets","DR Site GBOS","Servers, Storage, Network","Public","GICTA ","97XR+6C12","Candidate","4","4","4","1","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Cloud Hosting Platfo","Disaster Recovery Site (GBOS)**","Facilities","Backup and recovery facility for G-Cloud","GBOS","Power, Network, Storage","Public","GICTA ","97XR+6C19","Candidate","4","4","4","1","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Cloud Hosting Platfo","DR Datasets","Data","Disaster recovery replicas and mirrored data","DR Site GBOS","Backup Systems, Servers, Network","Public","GICTA ","97XR+6C13","Candidate","4","4","4","1","4","17","Tier-3"
"Gambia ICT Agency (GICTA)","Information and Communications","Government Cloud Hosting Platfo","Virtualization Platform (VMware/AWS)","Software Systems","Enables multiple virtual environments for hosting government applications","e-Gov Data Center","Servers, Storage, Power, Network","Public","GICTA ","97XR+6C3","Candidate","4","4","3","2","4","17","Tier-3"
"Ecobank ","Banking and Finance","Commercial Banking Services","Local IT Support","Human","Technical assistance of the banks operation","Ecobank Head Office","Server, Datacenter, Cooling, Power, Network, Staff, Customer","Ecobank","Ecobank IT Team","5.5576823,-0.1993113","Active","4","3","4","4","4","19","Tier-3"
"Ministry of Basic and Secondary Education (MOBSE)","Education & Research","Education Management Information System (EMIS)","School Education Management Information System(SEMIS)","Data","Data management at school level","Ministry of Basic and Secondary Education, Banjul","VPN (Virtual Private Network)","Public","Ministry of Basic and Secondary Education","13.45408,-16.57290","Active","4","2","4","3","2","15","Tier-3"
"Unique Solutions","Information and Communications","Vehicle Tracking","Switches","Hardware and Computing Infrastructure","Networking deivce used to connect netwroks and forward data","USL HQ","Power, Cooling, Cables","USL","USL","C8WF+R7F, Kairaba Ave, Serrekunda","Active","3","4","3","3","3","16","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","server connectivity offices","Facilities","Rooms hosting server and connectivity equipment","WAPIS DACORE, JOC Building Bjilo","Power, Cooling, Network","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","1","3","16","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","Secure rooms hosting WAPIS terminals","Facilities","Restricted rooms where WAPIS terminals are accessed","WAPIS DACORE, JOC Building Bjilo","Power, Security, Network","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","2","3","17","Tier-3"
"Gambia Police Force (GPF)","National Defense and Security","Criminal investigation (WAPIS)","Internet","Networks and Communication","Secure internet connectivity for INTERPOL data exchange","WAPIS DACORE, JOC Building Bjilo","ISP, Firewalls, VPN","Public","GPF Facilities Management","Bijilo, The Gambia","Active","4","4","4","2","3","17","Tier-3"
